Date,High,Low,Open,Close,Volume,Adj Close
2019-10-01,151.8800048828125,148.9199981689453,151.5,149.02999877929688,2823000.0,143.7364501953125
2019-10-02,148.24000549316406,145.82000732421875,148.17999267578125,146.61000061035156,3811500.0,141.4024200439453
2019-10-03,147.8000030517578,144.89999389648438,146.47999572753906,147.8000030517578,4380400.0,142.55014038085938
2019-10-04,149.80999755859375,148.0399932861328,148.36000061035156,149.72999572753906,2509200.0,144.41159057617188
2019-10-07,150.19000244140625,148.88999938964844,149.3800048828125,149.13999938964844,2237400.0,143.842529296875
2019-10-08,148.36000061035156,146.7100067138672,148.0399932861328,146.72999572753906,2213900.0,141.51812744140625
2019-10-09,148.58999633789062,147.52000427246094,147.85000610351562,148.0800018310547,3294600.0,142.82020568847656
2019-10-10,149.5,147.99000549316406,148.0,149.02999877929688,3508900.0,143.7364501953125
2019-10-11,151.89999389648438,150.47000122070312,150.50999450683594,150.6300048828125,3377100.0,145.27963256835938
2019-10-14,150.75,150.25,150.52000427246094,150.49000549316406,1213500.0,145.1446075439453
2019-10-15,152.3300018310547,150.9199981689453,151.02999877929688,151.97000122070312,2153200.0,146.57203674316406
2019-10-16,152.0500030517578,151.3699951171875,151.63999938964844,151.69000244140625,1578400.0,146.3019561767578
2019-10-17,152.63999938964844,151.83999633789062,152.3300018310547,152.19000244140625,1640400.0,146.78424072265625
2019-10-18,152.1999969482422,150.89999389648438,151.94000244140625,151.5800018310547,1720000.0,146.19589233398438
2019-10-21,152.69000244140625,152.05999755859375,152.35000610351562,152.57000732421875,1710100.0,147.1507110595703
2019-10-22,153.00999450683594,152.0399932861328,152.92999267578125,152.11000061035156,1711800.0,146.70706176757812
2019-10-23,152.49000549316406,151.77000427246094,151.97000122070312,152.4199981689453,1804000.0,147.00604248046875
2019-10-24,153.0800018310547,152.27999877929688,153.00999450683594,152.83999633789062,1582200.0,147.41111755371094
2019-10-25,153.75999450683594,152.4199981689453,152.49000549316406,153.4499969482422,2461600.0,147.99945068359375
